таа’койӈын	таа/’ко/йӈы/н
нинэԓьуӄинэт	н/инэ/ԓьу/ӄинэ/т
турыԓьыт	туры/ԓьы/т
каԓегыргыт	каԓе/гыргы/т
эԓьукэ	э/ԓьу/к/э
рытъёттэ	рытъёт/тэ
ыттъыёԓ	ыттъыёԓ
ԓыԓет	ԓыԓе/т
нунтымӄинэт	нун/тым/ӄинэ/т
мэԓпэӈъивэтыԓьыт	мэԓпэ/ӈъив/эты/ԓьы/т
майӈыръэтгыпы	майӈы/ръэт/гыпы
курык	куры/к
чимгъучыку	чимгъу/чыку
крычмын	кры/чмы/н
гэчимгъуԓин	гэ/чимгъу/ԓин
ниничгытӄинэт	н/ин/ичгыт/ӄинэ/т
ымнымытваӈэт	ымнымытва/ӈэт
мынԓьугъэн	мын/ԓьу/гъэ/н
тэӈэԓьын	тэӈэ/ԓьы/н
аэропортармагты	аэро/порт/арма/гты
нъытвагъан	н/ъытва/гъа/н
ӈээӄ	ӈээӄ
таӈычьатгыргын	таӈы/чь/ат/гыргы/н
аӄатвагырга	а/ӄатва/гырга
эвинрэткэ	эвинрэт/к/э
эпиӈэръукэ	эпиӈэ/ръу/к/э
нъитгъэн	н/ъит/гъэ/н
нырэӄыным	ны/рэӄы/ным
нэнапаԓёмтэԓӄэнат	н/эна/паԓём/тэԓ/ӄэна/т
