accompanied ac/compani/ed
neighbour's	neighbour/'s
net's	net/'s
nicked	nick/ed
nihilistic	nihil/ist/ic
nihilists	nihil/ist/s
ninnies	ninni/es
nipples	nipple/s
nobbling	nobbl/ing
nobles	noble/s
non-profit-making	non-profit-making
nostalgia	nostalgia
nourishes	nourish/es
nuisances'	nuisance/s/'
numberplates	number/plate/s
numerable	numer/able
numskulls	num/skull/s
nut	nut
oaks	oak/s
oboe	oboe
off-white's	off/-/white/'s
officeholders'	office/hold/er/s/'
omnivorous	omnivorous
opinionated	opin/ion/at/ed
oppressor	oppress/or
orbs	orb/s
ordains	ordain/s
orderliness	order/li/ness
outcomes	out/come/s
outlawing	out/law/ing
outworks	out/work/s
overbalanced	over/balanc/ed
overburden	over/burden
overlapping	over/lapp/ing
overstock	over/stock
overthrow	over/throw
palish	pal/ish
pamphlet's	pamphlet/'s
panhandling	pan/handl/ing
pantheons	pantheon/s
paprika	paprika
paragon	paragon
parasols	parasol/s
park	park
parliaments'	parliament/s/'
patriot's	patriot/'s
pea	pea
peel's	peel/'s
pegged	pegg/ed
pellet	pellet
penetrates	penetrate/s
pensioner	pension/er
perceptibly	percept/ib/ly
perches'	perch/es/'
perforated	perforat/ed
personas	persona/s
pervading	pervad/ing
pests'	pest/s/'
phaetons	phaeton/s
phi's	phi/'s
photo's	photo/'s
photocopier	photo/copi/er
photogravure	photo/gravure
phrenologists	phrenolog/ist/s
physiognomy	physiognomy
pianolas	pianola/s
pianos	piano/s
picketed	picket/ed
pieta	pieta
piglet	pig/let
pinkish	pink/ish
pithiest	pith/i/est
pizza	pizza
placement	place/ment
plaice	plaice
plaids	plaid/s
pled	pled
plenitude	plenitude
plight	plight
plopped	plopp/ed
plucky	pluck/y
plumbed	plumb/ed
plushest	plush/est
polling-booth	polling/-/booth
poops'	poop/s/'
poppycock	poppy/cock
porn's	porn/'s
poser	pos/er
pottages	pott/age/s
powered	power/ed
praises	praise/s
prearrangements	pre/arrange/ment/s
precarious	precarious
precedes	precede/s
predictions	predict/ion/s
predictor	predict/or
prefect's	prefect/'s
premises	premise/s
prepackaged	pre/pack/ag/ed
prepared	prepar/ed
presence	pres/ence
pressured	press/ur/ed
prevaricators	prevaricat/or/s
prevented	prevent/ed
primaries	prim/ari/es
prizefighters	prize/fight/er/s
probabilities	probabil/iti/es
profaning	profan/ing
prognoses	prognoses
projectionists'	project/ion/ist/s/'
propagator	propagat/or
prophesy	prophesy
propjet	prop/jet
prorogation	prorog/ation
proselytizes	proselyt/ize/s
protestant's	protest/ant/'s
proudest	proud/est
provokingly	provoking/ly
psyche	psyche
psychiatrist's	psychiatr/ist/'s
puce's	puce/'s
pugnacity	pugnac/ity
pulled	pull/ed
pullman	pullman
pulsed	puls/ed
punch	punch
punic	punic
punishment	punish/ment
puns	pun/s
puritanism	pur/it/an/ism
purport	purport
push-ups	push/-/up/s
putrefied	putrefi/ed
quake's	quake/'s
quangos	quango/s
quasar's	quas/ar/'s
quieter	quiet/er
quinine's	quinine/'s
quixote	quixote
rack's	rack/'s
rail-car	rail/-/car
railway's	rail/way/'s
raisins	raisin/s
rationalist	rational/ist
rationalization	rational/iz/ation
ravine	ravine
realigned	re/align/ed
realty's	real/ty/'s
rebinds	re/bind/s
rebuilding	re/build/ing
recommendations'	re/commend/ation/s/'
reconciliations	re/conciliat/ion/s
recount	re/count
recrudescence	recrudesc/ence
rectangles	rectangle/s
redressed	re/dress/ed
reek's	reek/'s
reface	re/face
referendum	referendum
regalia	regalia
region	region
relics	relic/s
reminder	re/mind/er
reminds	re/mind/s
remorsefully	remorse/ful/ly
rentals'	rent/al/s/'
repatriating	repatriat/ing
repealing	repeal/ing
repellent	repell/ent
reposed	re/pos/ed
republics	republic/s
reruns'	re/run/s/'
reserved	reserv/ed
reshuffling	re/shuffl/ing
resists	resist/s
resonant	reson/ant
respecters	respect/er/s
responsibilities	respons/ibil/iti/es
retook	re/took
returns'	re/turn/s/'
revels'	revel/s/'
revere	revere
revertible	revert/ible
revivalist	reviv/al/ist
revoking	revok/ing
revolt	revolt
ribald	ribald
ribaldry	ribald/ry
rigidity	rigid/ity
rigorous	rig/or/ous
risings	rising/s
roadbeds	road/bed/s
robin's	robin/'s
rodeo's	rodeo/'s
rods'	rod/s/'
roll-on	roll/-/on
roman's	rom/an/'s
roughhouse	rough/house
roused	rous/ed
ruffles	ruffle/s
ruinously	ruin/ous/ly
rum's	rum/'s
ruminated	ruminat/ed
rumpling	rumpl/ing
sabah	sabah
sackbuts	sackbut/s
safeguard	safe/guard
salad-dressings	salad/-/dressing/s
saleroom	sale/room
sales	sale/s
salesclerk's	sales/clerk/'s
salon's	salon/'s
salvoes	salvo/es
samplers	sampl/er/s
sanitaria	sanitaria
saturn's	saturn/'s
saxons'	saxon/s/'
scallops	scallop/s
scantier	scant/i/er
sceptics	sceptic/s
schedules	schedule/s
schnitzels	schnitzel/s
scholarly	schol/ar/ly
schoolgirls'	school/girl/s/'
schoolmistress'	school/mistress/'
scullion	scullion
se	se
sea-legs	sea/-/legs
sea-lion	sea/-/lion
seaborne	sea/borne
season's	season/'s
seasonings'	seasoning/s/'
secretarial	secretari/al
sees'	see/s/'
seize	seize
self-will	self/-/will
septembers	september/s
sequel's	sequel/'s
serialize	seri/al/ize
serially	seri/al/ly
servers'	serv/er/s/'
sevenths	seven/th/s
seychellois	seychellois
sforzandi	sforzandi
shallower	shallow/er
shank's	shank/'s
sheilas	sheila/s
shoestring's	shoe/string/'s
shoplifters	shop/lift/er/s
shoplifts	shop/lift/s
short-circuit	short/-/circuit
showering	shower/ing
sideswipes	side/swipe/s
sidings	siding/s
silents'	silent/s/'
silo	silo
simulates	simulate/s
sinfully	sin/ful/ly
sip	sip
skied	ski/ed
skimmed-milk	skimmed/-/milk
skins'	skin/s/'
skulked	skulk/ed
slacking	slack/ing
sleazy	sleazy
slices	slice/s
slickly	slick/ly
slotted	slott/ed
slough	slough
sniffs	sniff/s
snook's	snook/'s
soap's	soap/'s
solution's	sol/ution/'s
sopping	sopp/ing
sou	sou
speakerships	speak/er/ship/s
speculated	speculat/ed
splashes	splash/es
spread	spread
spreads	spread/s
squeaker	squeak/er
squeakers	squeak/er/s
squints	squint/s
squinty	squint/y
stable	stable
stage-whispers	stage/-/whisper/s
stalwart	stalwart
standpoint	stand/point
starkers	starkers
statements'	state/ment/s/'
stationer	station/er
statues'	statue/s/'
statuette	statu/ette
steamship	steam/ship
sterilizing	steril/iz/ing
sterna	sterna
stewards	steward/s
stinting	stint/ing
stocking	stock/ing
storerooms	store/room/s
strangulation	strangul/at/ion
stream	stream
strode	strode
strollers	stroll/er/s
sturdy	sturdy
subsequently	sub/sequent/ly
suburbanite	sub/urban/ite
sufficient	suffici/ent
suffixes	suffix/es
sulphides	sulph/ide/s
summaries	summari/es
summarizing	summar/iz/ing
sun's	sun/'s
sunroof	sun/roof
sure	sure
surgeon	surgeon
surliest	surli/est
sweet's	sweet/'s
switching	switch/ing
taboos'	taboo/s/'
tackles	tackle/s
tallying	tally/ing
tamped	tamp/ed
tangible	tangible
tangs	tang/s
tarrying	tarry/ing
taster	tast/er
tatters	tatt/er/s
tattlers	tattl/er/s
taunts	taunt/s
taxiing	taxi/ing
teasel	teasel
ted's	ted/'s
telegraph	tele/graph
temper	temper
temporizing	temporiz/ing
tempter	tempt/er
tenable	tenable
tenor's	tenor/'s
terrified	terr/ifi/ed
test's	test/'s
tests	test/s
tete-a-tete	tete-a-tete
thanksgivings	thanks/giving/s
thematic	them/atic
theodolite	theodolite
threshing	thresh/ing
throwaways	throw/a/way/s
tie-on	tie/-/on
timpanist	timpan/ist
tiredness	tired/ness
toes	toe/s
toilers	toil/er/s
tomatoes'	tomato/es/'
toothaches	tooth/ache/s
toothy	tooth/y
topazes	topaz/es
tornados	tornado/s
torpedos	torpedo/s
torturers	tortur/er/s
tournaments'	tournament/s/'
touted	tout/ed
tow's	tow/'s
toward	to/ward
towelling	towell/ing
tract	tract
trafficked	traffick/ed
tramples	tramp/le/s
transcendency	transcend/ency
transmogrification	transmogrific/ation
trashiness	trash/i/ness
treasure	treasure
trellising	trellis/ing
trendiness'	trend/i/ness/'
trestle-tables	trestle/-/table/s
triads	triad/s
tribunal's	tribun/al/'s
triplex's	triplex/'s
triumvirate	triumvir/ate
truce	truce
truck	truck
trumpeters	trump/et/er/s
tugboats	tug/boat/s
tureen	tureen
turncoats	turn/coat/s
twangs	twang/s
twin's	twin/'s
twine's	twine/'s
twits	twit/s
two-ply	two/-/ply
two-way	two/-/way
unabridged	un/abridged
unadopted	un/adopted
underage	under/age
undergrad	under/grad
undertaking's	undertaking/'s
undies	undies
unequivocally	un/equivocal/ly
unheard	un/heard
unhooks	un/hook/s
unreserved	un/reserved
unseeingly	un/seeing/ly
upstairs	up/stairs
urchins	urchin/s
vacillation	vacillat/ion
vassals	vassal/s
vaudeville	vaudeville
ventriloquists	ventriloqu/ist/s
venue	venue
versification	vers/ific/ation
viceregal	vice/regal
vicunas	vicuna/s
vineyard	vine/yard
volunteer's	volunteer/'s
voteless	vote/less
vouchsafed	vouch/saf/ed
vulgarized	vulgar/iz/ed
waistbands	waist/band/s
waistcoats	waist/coat/s
walk-up	walk/-/up
want-ad	want/-/ad
warders	ward/er/s
warming	warm/ing
washstands	wash/stand/s
watch-chains	watch/-/chain/s
watercourses	water/course/s
waxwork	wax/work
wearers	wear/er/s
welshing	welsh/ing
whiners'	whin/er/s/'
whipping	whipp/ing
whispers	whisper/s
whoops	whoop/s
wiltons	wilton/s
winced	winc/ed
winner	winn/er
wipes	wipe/s
wisdom	wis/dom
withhold	with/hold
witlessness	wit/less/ness
witnessing	witness/ing
wombs	womb/s
worship	worship
worshipper	worshipp/er
wreaking	wreak/ing
yetis	yeti/s
yowling	yowl/ing
zany's	zany/'s
zeniths	zenith/s
zodiac	zodiac
zombie's	zombie/'s
