амаравкэваратэн	а/маравкэва/ра/тэн
деԓегат	деԓег/ат
чукоткайпы	чукотка/йпы
ритгъэ	рит/гъэ
таӈӄорагынрэтыԓьын	таӈ/ӄора/гынрэты/ԓьы/н
ыттувги	ыттув/ги
ԓыгивуԓӄытвик	ԓыгивуԓӄы/тви/к
энмэч	энмэч
рагтыпԓыткок	ра/гты/пԓытко/к
гэмавъе	гэ/мав/ъе
чемгъоӈогъэ	чемгъо/ӈо/гъ/э
рыпэт	рыпэт
ныԓвавӄэн	ны/ԓвав/ӄэн
йыԓӄэтык	йыԓӄ/эты/к
эргыръотагнэты	эргы/ръо/тагн/эты
гымнан	гым/нан
тырэнӈивыӈын	ты/рэнӈ/ивы/ӈы/н
ыттувъейпы	ыттув/ъейпы
амарав	ам/арав
кэваратэн	кэвара/тэн
таакойӈын	таако/йӈы/н
чимгъупԓыткугъи	чимгъу/пԓытку/гъ/и
ваӈӄыттамэнӈыԓьын	ваӈӄытта/мэнӈы/ԓьы/н
гымнан	гым/нан
тырэтэйкыӈын	тырэ/тэйкы/ӈы/н
ынантаӈычьын	ынантаӈы/чьы/н
микынэ	микы/нэ
еп	еп
эԓьукыԓьин	э/ԓьу/кы/ԓь/ин
таакойӈын	таако/йӈы/н
гымнан	гым/нан
тырэкэԓиӈын	ты/рэкэԓ/иӈы/н
ынкы	ын/кы
ынкъам	ынкъам
ытԓён	ытԓён
чемгъоӈӈогъэ	чемгъо/ӈӈо/гъ/э
ӄынур	ӄынур
гэмгэтэминӈыԓьэ	гэ/мгэт/э/минӈы/ԓь/э
гэмавъена	гэ/мав/ъен/а
энмэч	энмэч
чимгъунин	чимгъу/ни/н
ныкитэ	ны/кит/э
ръэнут	ръэнут
рэкэԓигнин	рэкэԓ/иг/ни/н
таакойӈык	таако/йӈы/к
инъэ	инъ/э
ытԓён	ытԓён
капчачавыӈогъэ	капчачав/ыӈо/гъ/э
эты	эты
мэчынкы	мэчын/кы
рэӄивриԓтэтгъэ	рэӄ/ивриԓтэт/гъ/э
ытԓён	ытԓён
акваттагнэты	акват/тагн/эты
тыӈэвыё	ты/ӈэвы/ё
деԓегат	деԓег/ат
гэмавъе	гэ/мав/ъе
эквэтгъи	эквэт/гъ/и
нымнымэты	нымным/эты
иӈӄун	иӈӄун
ԓыги	ԓыги
эмрэтчыӈэ	эм/рэ/тчы/ӈэ
титэ	титэ
рэквэтгъэ	рэквэт/гъ/э
ыттувйи	ыттув/йи
ыттувйи	ыттув/йи
ынан	ынан
ԓюнԓьутэ	ԓюнԓьу/т/э
рыннин	рын/нин
эргыпӄорагынрэтыԓьын	эргы/пӄора/гынрэты/ԓьы/н
еп	еп
ыяа	ыяа
гаӈаԓвыԓьыма	га/ӈаԓвы/ԓьым/а
нытваӄэн	ны/тва/ӄэн
ытԓён	ытԓён
етыԓьыԓӄыԓ	еты/ԓьы/ԓӄыԓ
ӈэръамытԓыӈэн	ӈэръа/мытԓы/ӈэн
ыԓёӈэттэ	ыԓё/ӈэт/тэ
гаԓяпԓыткок	гаԓя/пԓытко/к
эквэтыԓьыԓӄыԓым	эквэты/ԓьы/ԓӄы/ԓым
москвагты	москва/гты
вытку	вытку
йъиԓгын	йъ/иԓгы/н
тэԓпык	тэԓпы/к
ынӈин	ынӈин
нанымӈыԓяквъан	н/аны/мӈыԓя/к/въа/н
гэмавъе	гэ/мав/ъе
правԓенияк	прав/ԓения/к
коԓхозык	коԓхо/зы/к
ынпыначгын	ынпыначгы/н
пэԓӄынтэтгъи	пэԓӄынт/эт/гъ/и
ярагты	яра/гты
онтымавэты	онтымав/эты
ыннэнйъиԓгык	ыннэн/йъ/иԓгы/к
мэчынкы	мэчын/кы
ынан	ынан
рэтэйкыгнин	рэ/тэйкыг/ни/н
ынӈин	ынӈин
ваԓьын	ва/ԓьы/н
таакойӈын	таако/йӈы/н
миӈкыри	миӈ/кы/ри
гэчимгъуԓьин	гэ/чимгъу/ԓь/ин
ӄырым	ӄырым
амынан	ам/ынан
амтаакойӈын	ам/таа/ко/йӈы/н
нытвагъан	ны/тва/гъа/н
ынкыри	ын/кы/ри
ԓым	ԓым
рэтэйкыгнин	рэ/тэйкыг/ни/н
рырамавъёчгын	рырам/ав/ъёч/гы/н
ынӄэным	ынӄэным
вэтыӄун	вэты/ӄун
ваԓьыԓӄыԓ	ва/ԓьы/ԓӄыԓ
миӈкыри	миӈ/кы/ри
ӄун	ӄун
ынкы	ын/кы
имыръэнут	имы/ръэнут
таӈкаԓеӈ	таӈ/каԓе/ӈ
ынръам	ынръам
раԓьонъёԓӄыԓ	ра/ԓьо/нъ/ёԓ/ӄыԓ
нъэԓгъи	н/ъэԓ/гъ/и
ваӈӄыт	ваӈӄыт
гэмавъена	гэ/мав/ъен/а
тэԓенъеп	тэԓенъ/еп
чимгъуу	чимгъу/у
нинэԓгыӄин	н/инэ/ԓгы/ӄин
майӈырыркэн	майӈы/рыр/кэн
ваӈӄыт	ваӈӄыт
оптытъар	оптытъар
гивиӈитти	г/иви/ӈит/ти
яаԓ	яаԓ
каннайына	канна/йын/а
гынниӈӈыттыԓьэ	гынниӈ/ӈытты/ԓь/э
уӈииԓьэ	уӈии/ԓь/э
коԓхозкэнак	коԓхоз/кэна/к
нынныԓьык	нынны/ԓьы/к
ԓенин	ԓен/ин
ганмыԓен	га/нмы/ԓен
ԓыгэмайӈырыркы	ԓыгэ/майӈы/ры/ркы
гэмавъена	гэ/мав/ъен/а
тыӈивынин	ты/ӈивы/нин
чиниткин	чинит/кин
экык	экык
ынӈэнкоԓхозэты	ынӈэн/коԓхоз/эты
ынӄэн	ынӄэн
коԓхоз	коԓхоз
гатваԓен	га/тва/ԓен
ӈирэӄӄԓиккин	ӈирэӄ/ӄԓик/кин
киԓометрмэԓ	киԓо/мет/рмэԓ
урэԓьу	урэ/ԓьу
коԓхозгыпы	коԓхоз/гыпы
эргыръон	эргы/ръо/н
ынкъам	ынкъам
эккэтэ	эккэ/тэ
куннин	кунн/ин
таӈгыннэӈӈыттыԓьэпы	таӈ/гыннэӈ/ӈытты/ԓь/эпы
ыннэн	ыннэн
ваӈӄыт	ваӈӄыт
ынӈэн	ынӈэн
ваӈӄытгыпы	ваӈӄытгыпы
гэтэйкыԓин	гэ/тэйкы/ԓин
коԓё	коԓё
нытэӈӄин	ны/тэӈ/ӄин
тайкыгыргын	тайкы/гыргы/н
гэмавъена	гэ/мав/ъен/а
гэтэйкыԓин	гэ/тэйкы/ԓин
ваӈӄытык	ваӈӄы/тык
ынанмайӈычьын	ынан/майӈы/чьы/н
картина	карти/на
ынкъам	ынкъам
гэнӈивыԓин	гэ/нӈ/ивы/ԓин
ытԓён	ытԓён
игыр	игыр
москвагты	москва/гты
ӄэвииръу	ӄэв/иир/ъу
тумгытум	тумгытум
стаԓинына	с/таԓи/ны/н/а
вэтыӄуным	вэты/ӄуным
ԓьооԓӄыԓ	ԓьо/о/ԓӄыԓ
ваӈӄыт	ваӈӄыт
гэмавъена	гэ/мав/ъен/а
нэмэ	нэмэ
тыӈивынин	ты/ӈивы/ни/н
экык	экык
коԓхозэты	коԓхоз/эты
нынныԓьэты	нынны/ԓь/эты
ԓенин	ԓен/ин
ынкъам	ынкъам
ивнин	ив/ни/н
экык	экык
иӈӄун	иӈӄун
эвнэпичгычьэткэ	эвнэ/пичгы/чьэт/к/э
нитгъэн	н/ит/гъэ/н
корма	корм/а
ваӈӄыт	ваӈӄыт
экык	экык
пэԓӄынтэтгъи	пэԓӄынт/эт/гъ/и
вытку	вытку
ӈыроча	ӈыро/ча
кивыпԓыткук	кивы/пԓытку/к
эквыргаым	эквы/р/гаым
ытԓён	ытԓён
уйӈэ	уйӈэ
гатваԓен	га/тва/ԓен
аваӈӄытка	аваӈӄытка
ӈирэӄэв	ӈирэӄ/эв
ваӈӄыт	ваӈӄыт
панэна	панэн/а
каннайына	канна/йын/а
гапэԓятԓен	га/пэԓя/т/ԓен
ынӄэн	ынӄэн
ваӈӄыт	ваӈӄыт
мэкына	мэкын/а
аӄайыԓыӈ	а/ӄай/ыԓы/ӈ
ваԓьын	ва/ԓьы/н
киткит	кит/кит
рыпаӈъэвӈытовыпԓыткок	ры/паӈъэв/ӈыто/вы/пԓытко/к
ыттъыт	ыттъы/т
гэмавъе	гэ/мав/ъе
чинит	чинит
эквэтгъи	эквэт/гъ/и
какомэй	како/мэй
гэмавъе	гэ/мав/ъе
нъэнӄэтӄин	н/ъэнӄэт/ӄин
пыӈыԓтэԓык	пыӈыԓ/тэԓы/к
еп	еп
эпԓыткукэ	эпԓытку/к/э
тайкыё	тайкы/ё
ымы	ымы
аккагты	акка/гты
ынкъам	ынкъам
ыԓгытомгэты	ыԓгытомг/эты
мэмыԓына	мэмы/ԓын/а
ынан	ынан
ԓёӈытва	ԓёӈы/тва
нинэнтыӄин	н/инэ/нты/ӄин
ръэнут	ръэнут
рэтэйкыгнин	рэ/тэйкыг/ни/н
гэмавъена	гэ/мав/ъен/а
нэмэ	нэмэ
йынатыӈонэн	йын/атыӈо/нэ/н
ваӈӄыт	ваӈӄыт
кытъаткэ	кытъат/к/э
гынниӈӈыттыԓьын	гынниӈ/ӈытты/ԓьы/н
ныгтачьатӄэн	ны/гта/чьат/ӄэн
ӄынур	ӄынур
амрантанъымӈычвынӈа	ам/ранта/н/ъы/мӈычвы/н/ӈа
ынан	ынан
рырэсӄивэннин	рырэ/сӄив/эн/ни/н
гэмавъе	гэ/мав/ъе
раԓкогты	раԓко/гты
миӈкы	миӈ/кы
ныймэтваӄэн	ны/ймэтва/ӄэн
ваӈӄыт	ваӈӄыт
ынкъам	ынкъам
ивнин	ив/ни/н
ынӄэным	ынӄэным
вай	вай
ытръэчым	ытръ/эчым
ӄырым	ӄырым
йытԓёԓӄыԓ	йытԓ/ёԓ/ӄыԓ
ӄуттиым	ӄут/ти/ым
эвыр	эвыр
тэгъеӈу	тэгъ/е/ӈу
ԓыӈкы	ԓыӈ/кы
ӄыркургынэт	ӄы/ркургы/нэ/т
гымнин	гым/нин
ӄутти	ӄут/ти
варкыт	варкы/т
ытръэч	ытръэч
ӈанӄэнат	ӈан/ӄэна/т
ныппыԓюӄинэт	ны/ппыԓю/ӄинэ/т
рэӄуым	рэӄ/уым
йымэтваркын	йымэтва/ркын
наӄам	наӄам
ваӈӄыт	ваӈӄыт
ӄытвыгын	ӄытвыгы/н
вэчгыргын	вэчгыргы/н
энӄэтыркын	энӄэты/ркын
опопы	опопы
гымнан	гым/нан
чинит	чинит
мытвыгъан	мы/твы/гъа/н
ынӈэ	ынӈэ
гымнан	гым/нан
ԓюнрэпириӈэ	ԓюнрэ/пири/ӈэ
тынтыркынэт	тынты/ркынэ/т
гынин	гын/ин
манэт	манэ/т
аԓымы	аԓымы
нымкыче	ны/мкы/че
тиквыт	т/ик/выт
ӄырымэн	ӄырым/эн
йытԓёԓӄыԓ	йытԓ/ёԓ/ӄыԓ
ынӄэн	ынӄэн
гымнин	гым/нин
кэтъоёԓӄыԓ	кэтъоё/ԓӄыԓ
гэмавъена	гэ/мав/ъен/а
моонэн	моо/нэ/н
анъяк	анъя/к
каннай	канна/й
гым	гым
тычичевыркын	ты/чичевы/ркын
иквъи	ик/въ/и
ытԓён	ытԓён
гыт	гыт
аԓваӈ	аԓва/ӈ
чичевыркын	чичевы/ркын
рамынноӈэты	рам/ынноӈ/эты
иквъи	ик/въ/и
каннай	канна/й
гым	гым
атав	атав
ынӈин	ынӈин
тиквъэк	т/ик/въэ/к
гымнан	гым/нан
чит	чит
нэнаратвыӈэгым	н/эна/ра/твы/ӈ/эгым
гынин	гын/ин
айыԓгыкэчьатгыргын	айыԓ/гыкэчьат/гыргы/н
ынкъам	ынкъам
тамэнӈычьатгыргын	тамэнӈы/чь/ат/гыргы/н
гынниӈӈыттык	гынниӈ/ӈыт/тык
нинивӄин	н/ин/ив/ӄин
гэмавъена	гэ/мав/ъен/а
этԓы	этԓы
ынӄэн	ынӄэн
нэмыӄэй	нэмыӄэй
аԓвагты	аԓва/гты
ӄырымэн	ӄырым/эн
гыннэӈӈыттыгыргыкэн	гыннэӈ/ӈытты/гыргы/кэн
ынӄэн	ынӄэн
кэтъоёԓгын	кэтъо/ёԓгы/н
ынанъыттъыёԓкэн	ынанъыттъыёԓ/кэн
ваӈӄыткэн	ваӈӄыт/кэн
котъён	котъё/н
гынык	гыны/к
эккэтэ	эккэ/тэ
гынан	гынан
рымэгчеравма	ры/мэгчера/в/ма
ынӄэн	ынӄэн
ваӈӄыт	ваӈӄыт
чимгъуну	чимгъу/ну
нинэԓгигыт	н/инэ/ԓги/гыт
томгыԓьатгыргын	томгы/ԓьат/гыргы/н
варатэн	вара/тэн
чинитым	чини/тым
гынан	гынан
ынӄэн	ынӄэн
гэмо	гэ/мо
рытчыгъэн	рытчы/гъэ/н
уӈииԓьыт	уӈии/ԓьы/т
гэмо	гэ/мо
рытчынэт	рытчы/нэ/т
ӈэнку	ӈэн/ку
гынан	гынан
йыԓынэт	йыԓы/нэ/т
морыкы	моры/кы
манэт	манэ/т
ынкъам	ынкъам
эквэтгъи	эквэт/гъ/и
ӈэнку	ӈэн/ку
ыныкит	ыны/кит
гымнан	гым/нан
ԓыги	ԓыги
тъыԓгыгъэн	тъыԓгы/гъэ/н
рэӄу	рэӄ/у
рэтэйкыӈын	рэ/тэйкы/ӈы/н
ваӈӄыт	ваӈӄыт
ӄырым	ӄырым
тъыпиринэт	тъы/пири/нэ/т
гынин	гын/ин
манэт	манэ/т
ӄэгԓынангэт	ӄэгԓы/нан/гэт
каннай	канна/й
гым	гым
ԓюнчимгъутэ	ԓю/н/чимгъу/т/э
ӈэнку	ӈэн/ку
гитигым	г/ит/игым
гымнан	гым/нан
гыт	гыт
ԓюнрэнъээвӈэ	ԓюнрэ/нъээв/ӈэ
тынтыгыт	ты/нты/гыт
ынӄэн	ынӄэн
тэԓенъеп	тэԓенъ/еп
гатваԓен	га/тва/ԓен
ӄыпаагэ	ӄы/пааг/э
анӈэначьатык	анӈэна/чьа/тык
иӈӄун	иӈӄун
ӄыпаагэ	ӄы/пааг/э
гымыкы	гымы/к/ы
этрэркурӈынин	этрэ/ркурӈы/нин
гыннэӈӈыттываԓы	гыннэӈ/ӈытты/ваԓы
ынантаӈпыԓвынтэн	ынантаӈ/пыԓвынтэн
ынкъам	ынкъам
гымнан	гым/нан
чинит	чинит
трэтэйкыӈын	т/рэ/тэйкы/ӈы/н
кэԓийыӄуйгын	кэԓ/ийыӄ/уйгы/н
ынӈэнваԓягты	ынӈэн/ваԓя/гты
вэԓынкыӄун	вэԓын/кы/ӄун
гэмавъей	гэ/мав/ъей
эквыргаым	эк/выргаым
гымнан	гым/нан
ԓёнйъота	ԓён/йъо/та
тынтыгъэн	ты/нты/гъэ/н
ынӈин	ынӈин
ваԓьын	ва/ԓьы/н
ӄэвииръын	ӄэв/ииръы/н
гыт	гыт
нытэӈъэв	ны/тэ/ӈъэв
нытаваӈӄынӈэгыт	ны/т/ава/ӈ/ӄынӈ/эгыт
эквыргаым	эквы/р/гаым
гынан	гынан
аткэвма	аткэв/ма
ԓыги	ԓыги
нинэԓгигыт	н/инэ/ԓги/гыт
оравэтԓьэн	оравэтԓьэ/н
чимгъун	чимгъу/н
ытԓён	ытԓён
омрыӈ	омры/ӈ
ваԓьын	ва/ԓьы/н
ваӈӄытык	ваӈӄы/тык
гэмавъе	гэ/мав/ъе
чемгъоӈӈогъэ	чемгъо/ӈӈо/гъ/э
каннайым	канна/йым
анӈэначьатэты	анӈэна/чьат/эты
ԓыԓяпыткоӈӈогъэ	ԓыԓя/пы/тко/ӈӈо/гъ/э
ваӈӄытыӈӄачагты	ваӈӄыты/ӈӄача/гты
рэнмык	рэн/мык
йымэтваԓьэты	йымэтва/ԓь/эты
вэчьым	вэч/ьым
ӄэгԓынангэт	ӄэгԓы/нан/гэт
иквъи	ик/въ/и
ӄынвэр	ӄынвэр
гэмавъе	гэ/мав/ъе
гымнан	гым/нан
вэймэну	вэймэ/ну
тыԓгыркын	ты/ԓгы/ркын
гынин	гын/ин
аатгыргын	аатгыргы/н
каннай	канна/й
ынкъам	ынкъам
ԓюнрэнйыркэвӈэ	ԓюн/рэн/йыркэв/ӈэ
тынтыркын	тынты/ркын
гынин	гын/ин
чимгъун	чимгъу/н
каннай	канна/й
гымнан	гым/нан
тыкычгэпын	ты/кычг/эпын
гынин	гын/ин
чимгъун	чимгъу/н
ынкъам	ынкъам
ынӄэната	ынӄэна/та
гым	гым
тивыркын	т/ивы/ркын
мынамманаӈат	мын/аммана/ӈат
ӈирэмури	ӈирэ/мури
тэнтумгу	тэн/тумгу
ынкъам	ынкъам
гэмавъена	гэ/мав/ъен/а
тывыӈонэн	ты/выӈо/нэ/н
чиниткин	чинит/кин
ратайкынъё	ра/тайкы/нъ/ё
каннайынаым	канна/йын/аым
чинит	чинит
рывиривнин	р/ывирив/ни/н
ранмэпы	ра/н/мэпы
ваӈӄыт	ваӈӄыт
чинит	чинит
рыԓьэтэннин	ры/ԓьэт/эн/ни/н
гэмавъена	гэ/мав/ъен/а
орвэты	орв/эты
ӄэгԓынангэт	ӄэгԓы/нан/гэт
иквъи	ик/въ/и
ытԓён	ытԓён
акватыԓьэты	акваты/ԓь/эты
титэ	титэ
рэпԓыткуӈын	рэпԓытку/ӈы/н
амаравкэваратэн	а/маравкэва/ра/тэ/н
таакойӈын	таако/йӈы/н
ынкъам	ынкъам
рэнԓьэтэнӈын	рэн/ԓьэт/энӈы/н
ыттувъена	ыттувъе/на
гынан	гынан
ытԓён	ытԓён
нымэԓьэв	ны/мэԓьэв
ӄынинъэйвыгын	ӄы/нин/ъэйвы/гы/н
мачынан	мачы/нан
нивнинэт	н/ив/ни/нэ/т
омакатынвык	омак/атынвы/к
конференцияк	конф/еренция/к
энмэн	энмэн
ымыԓьо	ымыԓьо
советкэн	совет/кэн
вараттэ	вара/тт/э
ԓёнрамаравӈа	ԓён/ра/марав/ӈа
итыркыт	иты/ркы/т
ымы	ымы
майӈывараттэ	майӈы/вара/тт/э
ымы	ымы
мъавараттэ	мъав/ара/тт/э
ымы	ымы
ынӈин	ынӈин
мэйӈэԓьын	мэйӈэ/ԓьы/н
ӄынур	ӄынур
россэԓьыварат	россэ/ԓьы/вара/т
ымы	ымы
мъаварат	мъав/ара/т
ӄынур	ӄынур
ԓыгъоравэтԓьат	ԓыг/ъоравэтԓьа/т
ынкъам	ынкъам
уӈииԓьыт	уӈии/ԓьы/т
ԓыгэн	ԓыгэн
ынӈин	ынӈин
нивнинэт	н/ив/ни/нэ/т
ынкъам	ынкъам
ынӈэ	ынӈэ
энанъяка	энанъя/к/а
гым	гым
гынан	гынан
гэмавъей	гэ/мав/ъей
иквъи	ик/въ/и
каннай	канна/й
эчги	эчги
ԓьунин	ԓьу/ни/н
коԓё	коԓё
маԓкоргавыԓьын	маԓкоргавы/ԓьы/н
ваӈӄыттамэнӈыԓьын	ваӈӄытта/мэнӈы/ԓьы/н
ынпыначгын	ынпыначгы/н
мъаварат	мъав/ара/т
ӄынур	ӄынур
ԓыгъоравэтԓьат	ԓыг/ъоравэтԓьа/т
ынкъам	ынкъам
уӈииԓьыт	уӈии/ԓьы/т
ԓыгэн	ԓыгэн
ынӈин	ынӈин
нивнинэт	н/ив/ни/нэ/т
ынкъам	ынкъам
ынӈэ	ынӈэ
энанъяка	энанъя/к/а
гым	гым
гынан	гынан
гэмавъей	гэ/мав/ъей
иквъи	ик/въ/и
каннай	канна/й
эчги	эчги
ԓьунин	ԓьу/ни/н
коԓё	коԓё
маԓкоргавыԓьын	маԓкоргавы/ԓьы/н
ваӈӄыттамэнӈыԓьын	ваӈӄытта/мэнӈы/ԓьы/н
ынпыначгын	ынпыначгы/н
эмӄитпымигчирэтэ	эм/ӄит/пы/мигчир/эт/э
гэмавъена	гэ/мав/ъен/а
рыпэт	рыпэт
гэмо	гэ/мо
ԓыгнин	ԓыг/ни/н
чывипыт	чывипыт
йъиԓгын	йъ/иԓгы/н
гаԓяԓьын	гаԓя/ԓьы/н
кэтэм	кэтэм
таӈгаймавык	таӈ/г/аймавы/к
мигчир	мигчир
гэмавъена	гэ/мав/ъен/а
рымӈыԓявнэнат	ры/мӈыԓ/яв/нэ/на/т
мэмыԓ	мэмыԓ
ынкъам	ынкъам
экык	экык
миӈкыри	миӈ/кы/ри
ӄун	ӄун
энмэч	энмэч
винвэ	винвэ
аӄантыӈ	а/ӄанты/ӈ
каԓегырга	каԓе/гырга
таакойӈык	таа/койӈы/к
амӄынъычо	ам/ӄын/ъычо
нэнатвыӄэнат	н/эна/твы/ӄэна/т
чимгъут	чимгъу/т
ынкъам	ынкъам
ԓыгаԓгыргыт	ԓыга/ԓгыргы/т
ваӈкыттамэнӈыԓьэн	ваӈкы/тта/мэнӈы/ԓь/эн
мэмыԓ	мэмыԓ
ныԓгэргавӄэн	ны/ԓгэ/ргав/ӄэн
ынӄэн	ынӄэн
ынан	ынан
рымӈыԓявнэн	ры/мӈыԓ/яв/нэ/н
гэмавъена	гэ/мав/ъен/а
амаравкэваратэн	а/маравкэва/ра/тэн
таакойӈын	таако/йӈы/н
ынан	ынан
нэнакачьаранъяӄэн	н/эна/качьа/ра/нъя/ӄэн
тэминӈэтыԓьэ	тэминӈ/эты/ԓь/э
нинэйыԓӄин	н/инэ/йыԓ/ӄин
ыныкы	ыны/кы
иӄумиӈкыри	иӄумиӈ/кы/ри
ваԓьын	ва/ԓьы/н
мигчир	мигчир
йъын	йъы/н
ӈайыткын	ӈай/ыткын
ытръэчым	ытръ/эчым
этԓы	этԓы
оравэтԓьат	оравэтԓьа/т
мэмыԓ	мэмыԓ
нэмыӄэй	нэмыӄэй
мэчнытэминӈыӄин	мэч/ны/тэ/минӈы/ӄин
таваӈӄынӈык	тав/аӈӄынӈы/к
нэкэм	нэкэм
ыныкит	ыны/кит
тэйкык	тэйкы/к
ръэнут	ръэнут
танӈавэты	танӈавэты
ваԓьын	ва/ԓьы/н
эквырга	эк/вырга
турэймэвкы	тур/эймэв/кы
итчымигчир	итчы/мигчир
ытԓён	ытԓён
ӈутку	ӈутку
ԓёӈӄыръачета	ԓёӈ/ӄыръач/ета
нитӄин	н/ит/ӄин
гэмавъена	гэ/мав/ъен/а
рээн	рээн
айпэчгыткынык	айпэч/гы/ткыны/к
энаёчгык	эна/ё/чгы/к
гэтэйкыԓинэт	гэ/тэйкы/ԓинэ/т
оравэтԓьат	оравэтԓьа/т
гамгавараткэнат	га/мгав/ара/т/кэна/т
ытри	ытри
ныԓеӄинэт	ны/ԓе/ӄинэ/т
ачгыта	ачгы/та
ынкъам	ынкъам
нынрыӄинэт	ны/нры/ӄинэ/т
кыргычьыт	кыргы/чьы/т
ынӈэнкыргычьык	ынӈэн/кыргы/чьы/к
гэкэԓиԓинэт	гэ/кэԓи/ԓинэ/т
вэтгавыт	вэтгавы/т
гэмгэйиԓымиԓ	гэ/мгэй/иԓы/миԓ
амаравкэгыргын	а/марав/кэгыргы/н
чит	чит
гэмавъена	гэ/мав/ъен/а
нинэрэкэԓиӈӄин	н/инэ/рэкэԓиӈ/ӄин
ынӄэн	ынӄэн
вэтгав	вэтгав
таакойӈык	таако/йӈы/к
амаԓваӈ	ам/аԓва/ӈ
ваԓьыеԓымэԓ	ва/ԓьы/еԓым/эԓ
эквырга	эк/вырга
ынан	ынан
ԓыги	ԓыги
нинэԓгыӄин	н/инэ/ԓгы/ӄин
ытръэч	ытръэч
руссиԓьымиԓ	ру/сси/ԓьы/миԓ
ԓыгъоравэтԓьаеԓымэԓ	ԓыг/ъоравэтԓьа/еԓым/эԓ
ынкъам	ынкъам
уӈииԓьымиԓ	уӈии/ԓьы/миԓ
мэмыԓына	мэмы/ԓын/а
нэмэ	нэмэ
ӈутку	ӈутку
ытԓён	ытԓён
винрэннин	винрэн/ни/н
каԓеткорак	каԓе/тко/ра/к
каԓеныгъёԓявыԓьэпы	каԓе/ны/гъёԓявы/ԓь/эпы
ынан	ынан
ԓыги	ԓыги
рытчынин	рытчы/ни/н
миӈкыри	миӈ/кы/ри
ныкэԓиӄин	ны/кэԓи/ӄин
ынӄэн	ынӄэн
вэтгав	вэтгав
ангԓияԓьыеԓымэԓ	ангԓия/ԓьы/еԓым/эԓ
ынкъам	ынкъам
немцаԓьыеԓымэԓ	немца/ԓьы/еԓым/эԓ
каԓеткоракэнайпыым	каԓе/тко/ра/кэна/йпыым
гынрыратыԓьэпы	гынры/раты/ԓь/эпы
кабицкайпы	кабицка/йпы
поԓякыԓьымэԓ	поԓя/кы/ԓьы/мэԓ
ԓымӈэ	ԓым/ӈэ
ытԓён	ытԓён
нывинрэтӄин	ны/винрэт/ӄин
ӄуԓимигчирык	ӄуԓи/мигчиры/к
нинэԓьумыткуӄин	н/инэ/ԓь/умы/тку/ӄин
рымъян	рымъя/н
ынкъам	ынкъам
койӈыԓявыт	койӈыԓ/явыт
нинэнчеэкэвӄинэт	н/инэ/н/чеэкэв/ӄинэ/т
энаёчгыт	эна/ё/чгы/т
ынкъам	ынкъам
рырамавъёчгын	рырам/ав/ъёч/гы/н
пԓыткооттэ	пԓытко/от/тэ
гэмавъена	гэ/мав/ъен/а
пԓыткома	пԓытко/ма
ӈыроӄав	ӈыроӄав
недеԓя	н/едеԓя
мигчир	мигчир
ымыԓьэты	ымыԓь/эты
гэпԓыткуԓин	гэ/пԓытку/ԓин
энмэч	энмэч
ӈыраӄычьэты	ӈыраӄы/чь/эты
ныкитэ	ны/кит/э
гэмавъена	гэ/мав/ъен/а
ёнэн	ё/нэн
таакойӈын	таако/йӈы/н
энаёчгычыко	эна/ё/чгы/чыко
ынкъам	ынкъам
ыннэн	ыннэн
недеԓяк	н/едеԓя/к
ԓёӈыгтота	ԓёӈы/гто/та
рыннин	рын/нин
ынӄоым	ынӄоым
йытонэн	йыто/нэ/н
рычичьэннин	рычи/чьэн/ни/н
ӄынур	ӄынур
вытку	вытку
ԓьоо	ԓьо/о
мэмыԓ	мэмыԓ
нычимгъуӄин	ны/чимгъу/ӄин
иӈӄун	иӈӄун
энмэн	энмэн
гэмавъена	гэ/мав/ъен/а
нэмэ	нэмэ
рэпиригнин	рэ/пириг/ни/н
чывиткунэӈ	чывитку/нэ/ӈ
ынкъам	ынкъам
ратанкавӈыӈӈогнэн	рата/нкав/ӈы/ӈӈог/нэ/н
тайкыё	тайкы/ё
эквыргаым	эквы/р/гаым
тэминӈыԓьэ	тэминӈы/ԓь/э
йытонэн	йыто/нэ/н
рырамавъёчгын	рырам/ав/ъёч/гы/н
йыръэннин	йыръэн/ни/н
таата	таат/а
таакойӈын	таако/йӈы/н
ынкъам	ынкъам
качьарэты	качьар/эты
йыԓнин	йыԓ/ни/н
мэмыԓына	мэмы/ԓын/а
нычимгъуӄин	ны/чимгъу/ӄин
иӈӄун	иӈӄун
энмэн	энмэн
гэмавъена	гэ/мав/ъен/а
нэмэ	нэмэ
рэпиригнин	рэ/пириг/ни/н
чывиткунэӈ	чывитку/нэ/ӈ
ынкъам	ынкъам
ратанкавӈыӈӈогнэн	рата/нкав/ӈы/ӈӈог/нэ/н
тайкыё	тайкы/ё
эквыргаым	эквы/р/гаым
тэминӈыԓьэ	тэминӈы/ԓь/э
йытонэн	йыто/нэ/н
рырамавъёчгын	рырам/ав/ъёч/гы/н
йыръэннин	йыръэн/ни/н
таата	таат/а
таакойӈын	таако/йӈы/н
ынкъам	ынкъам
качьарэты	качьар/эты
йыԓнин	йыԓ/ни/н
мэмыԓына	мэмы/ԓын/а
ыргынан	ыргы/нан
натааӄогъан	натааӄо/гъа/н
ӈирэнԓеӈу	ӈирэ/н/ԓе/ӈу
аԓымы	аԓымы
ынӈэнтаакойӈа	ынӈэн/таа/койӈа
