aatteilla	aatte/i/lla
seurojamme	seuro/j/a/mme
shampootiimin	shampoo/tiimi/n
shanghaissa	shangha/i/ssa
sidottuina	sido/ttu/i/na
siimasta	siima/sta
siirto-operaation	siirto/-/operaatio/n
siirtolaispolitiikkaan	siirtolais/politiikka/an
siistimmäksi	siisti/mmä/ksi
sijoittajasta	sijoitta/ja/sta
sikanen	sikanen
sillanpää	silla/n/pää
sinetti	sinetti
sinilippu	sini/lippu
sipoossa	sipoo/ssa
sisustuksenkin	sisust/ukse/n/kin
sivuseinät	sivu/seinä/t
soijatuotteiden	soi/ja/tuotte/i/den
sojoteltavasta	sojot/el/ta/va/sta
sokerimuurahaisia	sokeri/muurahais/i/a
sokeripitoisuuteen	sokeri/pitois/uute/en
sokeroi	sokeroi
soolotrumpetisti	soolo/trumpetisti
sopeutuvuudesta	sopeut/u/v/uude/sta
sopimuspoliittisessa	sopimus/poliittise/ssa
sotainvalidihuoltoa	sota/i/n/validi/huolto/a
sotarikoksista	sota/rikoks/i/sta
sotatantereelta	sota/tanteree/lta
sotilasjoukon	sotilas/jouko/n
sotilaskarkuruuden	sotilas/karkuruude/n
sotilaspuvut	sotilas/puvu/t
sotilassoittokunnasta	sotilas/soitto/kunna/sta
squashtähti	squash/tähti
stafylokokkibakteereihin	stafylokokki/bakteere/i/hin
steiner-koulun	steiner/-/koulu/n
stipendeistä	stipende/i/stä
studioitaan	studio/i/ta/an
suhteutetulla	suhteute/tu/lla
sukkahousuniksejä	sukka/housu/nikse/j/ä
sulkijan	sulki/ja/n
sumea	sumea
suojautumistoimiin	suojautu/mis/toim/i/in
suolattuna	suola/ttu/na
suoloiksi	suolo/i/ksi
suomalaismenestykseen	suomalais/menestykse/en
suomalaisristeilijöitä	suomalais/riste/ili/jö/i/tä
suomestahan	suome/sta/han
suunnittelupuolen	suunnittel/u/puole/n
suusyövistä	suu/syö/v/i/stä
syliisi	syl/i/i/si
syntyajoilta	synty/ajo/i/lta
sysmää	sysmä/ä
sytyttämään	syty/ttä/mä/än
syömiskäyttäytyminen	syö/mis/käyttä/yty/minen
sädehoidot	säde/hoido/t
säestämistä	säestä/m/i/stä
sähköautoon	sähkö/auto/on
sähköhellasta	sähkö/hella/sta
sähkösaunan	sähkö/sauna/n
säteilyttämällä	säteil/yttä/mä/llä
säästöistään	säästö/i/stä/än
söderholmin	söderholmi/n
taajama-alueiksi	taajama/-/alue/i/ksi
taistelukranaattia	taistel/u/kranaatti/a
takaisinmaksuaikaa	takais/i/n/maksu/aika/a
talitintin	tali/tinti/n
talletusvakuutusten	tallet/us/vakuut/us/t/en
talouspaperit	talous/paperi/t
talousuutisissa	talous/uutis/i/ssa
tamilitiikereistä	tamili/tiikere/i/stä
tampere-kuopio	tampere/-/kuopio
tanska-norjan	tanska/-/norja/n
tarinoillaan	tarino/i/lla/an
tarjoaisi	tarjoa/isi
tarjoavaa	tarjoa/va/a
tasoittuessa	tasoitt/u/e/ssa
tasoituksellisesti	tasoit/ukse/llise/sti
tasokkuus	tasokk/uus
tautiperintö	tauti/perintö
tavarahuolto	tavara/huolto
tavaroihinsa	tavaro/i/hi/nsa
teatterisalin	teatteri/sali/n
tehdaskiinteistöt	tehdas/kiinteistö/t
tehdyiksi	teh/dy/i/ksi
tekaistuun	tekais/tu/un
tekijöineen	tekijö/ine/en
telakkayhtiölle	telakka/yhtiö/lle
television	tele/visio/n
tenttiajat	tentti/aja/t
teoista	teo/i/sta
teollistuneet	teollist/u/nee/t
terapeuttinenkin	terapeuttinen/kin
terrorismi-sanan	terrorismi/-/sana/n
terroristiryhmä	terroristi/ryhmä
terveyspalveluja	terve/ys/palvel/u/j/a
terveyspäivän	terve/ys/päivä/n
terästäytyä	terästäyty/ä
tiedetoimittajat	tiede/toimi/tta/ja/t
tiedonsaantioikeuden	tiedo/n/saa/nti/oike/ude/n
tiedottavansa	tiedotta/va/nsa
tielaki	tie/laki
tienaavaa	tienaa/va/a
tietoväylä	tieto/väylä
tihkusadetta	tihku/sadet/ta
tiibet-sympatiaa	tiibet/-/sympatia/a
tikkarin	tikkari/n
tilapäiskekkerien	tila/päis/kekker/i/en
tilastollisesti	tilasto/llise/sti
tilinpäätöstietojen	tili/n/päätös/tieto/j/en
todentuntuisena	tode/n/tuntuise/na
toimeentulotueksi	toime/en/tulo/tue/ksi
toimintavuottaan	toimi/nta/vuo/tta/an
toimitustyöhön	toimi/t/us/työ/hön
toinin	toini/n
toistumassa	toistu/ma/ssa
toivottamalta	toivo/tta/ma/lta
tolppakengillä	tolppa/keng/i/llä
tomaattisosetta	tomaatti/soset/ta
torjuntapolitiikka	torjunta/politiikka
torstaisin	torstais/i/n
toteutusaika	toteut/us/aika
toteutuskelpoisia	toteut/us/kelpois/i/a
totuuksien	totuuks/i/en
triljoonalla	triljoona/lla
trooppiseen	trooppise/en
tsekkaan	tsekkaa/n
tukidirektiiville	tuki/direktiivi/lle
tulevaisuussuunnitelman	tule/vais/uus/suunnitelma/n
tulevallakaan	tule/va/lla/kaan
tulkitsemme	tulkitse/mme
tulkkipalvelu	tulkki/palvel/u
tulojaan	tulo/j/a/an
tulososan	tulos/osa/n
tultava	tul/ta/va
tulvavesistä	tulva/ves/i/stä
tunkeuduimme	tunke/udu/i/mme
tunnelia	tunneli/a
tuoduksi	tuo/du/ksi
tuomioistuinkäsittelyjä	tuomio/istuin/käsittel/y/j/ä
tuomiojalta	tuomi/oja/lta
tuonnin	tuonni/n
tuontikiintiöistä	tuonti/kiintiö/i/stä
tuontitavaroille	tuonti/tavaro/i/lle
tuovana	tuo/va/na
tupaantuliaispaikalle	tupa/an/tuliais/paika/lle
turkulaisessa	turku/laise/ssa
turvallisuusjoukkonsa	turva/llis/uus/joukko/nsa
turvallisuusneuvostoon	turva/llis/uus/neuvosto/on
turvapaikanhakuun	turva/paika/n/haku/un
työkaluohjelmistojen	työ/kalu/ohjelmisto/j/en
työllisyyskehityksen	työ/llis/yys/kehit/ykse/n
työlupakäytäntö	työ/lupa/käytäntö
työssäkin	työ/ssä/kin
työttömiin	työ/ttöm/i/in
työturvalla	työ/turva/lla
tähtikultti	tähti/kultti
tärvelemästä	tärvele/mä/stä
täydennysruuaksi	täydenn/ys/ruua/ksi
uhista	uh/i/sta
uhkasta	uhka/sta
ulkomaiset	ulko/maise/t
ulospäinsuuntautunut	ulos/pä/i/n/suuntautunut
umpikaivolietteiden	umpi/kaivo/liette/i/den
uratie	ura/tie
urissa	ur/i/ssa
uudenaikaistaa	uudenaikaista/a
uuhien	uuh/i/en
uutislähteenä	uutis/lähtee/nä
vaalikeskustelua	vaali/keskustel/u/a
vaalikierroksella	vaali/kierrokse/lla
vaasankadun	vaasa/n/kadu/n
vaellan	vaella/n
vahingoittamien	vahingoitta/m/i/en
vaihtoehdossakin	vaihto/ehdo/ssa/kin
vaihtopisteitä	vaihto/piste/i/tä
vaikeuttamisella	vaikeutta/mise/lla
vaimoaan	vaimo/a/an
vakoniemi	vako/niemi
valintamahdollisuuksiin	vali/nta/mahdollis/uuks/i/in
valitusosoituksen	valit/us/osoit/ukse/n
valjastamista	valjasta/m/i/sta
valmistaudumme	valmistaudu/mme
valmistuspalveluyritys	valmist/us/palvel/u/yrit/ys
valmistusvaiheissa	valmist/us/vaihe/i/ssa
valtapoliittinen	valta/poliittinen
vapaaehtoisesti	vapa/a/ehtoise/sti
vapaaehtoistyöntekijät	vapa/a/ehtois/työ/n/tekijä/t
varastohallin	varasto/halli/n
varmemmin	varme/mm/i/n
varmuudesta	varm/uude/sta
varustettu	varuste/ttu
vastaanottaessani	vastaanotta/e/ssa/ni
vastaanottokeskuksien	vasta/an/otto/keskuks/i/en
vastarokote	vasta/rokote
vastausta	vasta/us/ta
vastustajamme	vastusta/ja/mme
vastustanutta	vastusta/nut/ta
vehkeitä	vehke/i/tä
veit	ve/i/t
velkajärjestelyllä	velka/järjest/el/y/llä
velkoa	velko/a
velkojaksi	velko/ja/ksi
velvollisuus	velvollis/uus
venetelineiden	vene/teline/i/den
venäläislähteet	venäläis/lähtee/t
verillä	ver/i/llä
verohelpotuksillaan	vero/helpot/uks/i/lla/an
verohelpotusta	vero/helpot/us/ta
veronmaksajille	vero/n/maksa/j/i/lle
verovapaina	vero/vapa/i/na
verrattiin	verra/tt/i/in
verrokkeja	verrokke/j/a
vertailuarvoon	verta/il/u/arvo/on
veteraanisarja	veteraani/sarja
vetäjäpula	vetä/jä/pula
vialliseen	via/llise/en
videopalvelimelta	video/palvelime/lta
vienti	vie/nti
viestiviä	viesti/v/i/ä
viettää	viettä/ä
viherrakentajien	viher/rakenta/j/i/en
viikkolaskuri	viikko/laskuri
viimeisteltäväksi	viimeistel/tä/vä/ksi
viimeistelyharjoituksessaan	viimeistel/y/harjoit/ukse/ssa/an
viimeistelyssä	viimeistel/y/ssä
viitehinta	viite/hinta
viljanmaalla	vilja/n/maa/lla
viljatuotteet	vilja/tuottee/t
viljelytiloja	viljel/y/tilo/j/a
vilkaiskaapa	vilkais/kaa/pa
vinouttavasti	vinoutta/va/sti
vinoutumista	vinout/u/m/i/sta
virheeni	virhee/ni
viriä	viri/ä
virtaava	virtaa/va
virtausmittari	virta/us/mittari
vitsikkäät	vitsikkää/t
voitelu	voitel/u
voittoa	voitto/a
vuoriseen	vuorise/en
vuorokone	vuoro/kone
väestönlaskennan	väestö/n/laske/nna/n
vähimmäissuojan	vähimmäis/suo/ja/n
vähimmäistasoja	vähimmäis/taso/j/a
vähistä	väh/i/stä
vähämerkityksisistä	vähä/merkityksis/i/stä
väliinputoajaryhmä	väli/in/putoa/ja/ryhmä
ydinvaltojen	ydin/valto/j/en
yhdeksättä	yhdeksä/t/tä
yhteisostojen	yhteis/osto/j/en
yhteistutkimusta	yhteis/tutkimus/ta
yhteysjohtajaksi	yhteys/johta/ja/ksi
yhteysupseerin	yhteys/upseeri/n
yhtiösopimuksen	yhtiö/sopimukse/n
ykkösohjelmarahaa	ykkös/ohjelma/raha/a
yksilöille	yksilö/i/lle
yksityisautoja	yksityis/auto/j/a
yleispätevän	yleis/päte/vä/n
yleisurheilujoukkueen	yleis/urheil/u/joukkuee/n
ylhäältäpäin	ylhää/ltä/päin
ylityömääräystä	ylityö/määrä/ys/tä
ylpeydenaiheemme	ylpe/yde/n/aihee/mme
ylähirrestä	ylä/hirre/stä
ympäripäissään	ympäripä/i/ssä/än
ympäristövalmiusjoukon	ympäristö/valmius/jouko/n
yrityskohtaiset	yrit/ys/kohtaise/t
yrjölällä	yrjölä/llä
yöuniani	yö/un/i/a/ni
äänestäneeni	äänestä/nee/ni
ääniharavoina	ääni/hara/vo/i/na
a-oikeuksia	a/-/oike/uks/i/a
a-rajan	a/-/raja/n
aataminomenaan	aatami/n/omena/an
aikoneet	aiko/nee/t
aiottuja	aio/ttu/j/a
ajanmukaisuudesta	aja/n/mukais/uude/sta
alakanttiin	ala/kantti/in
alaspäinkin	alas/päin/kin
alttonsa	altto/nsa
alttoviulistien	altto/viulist/i/en
aluemyynnin	alue/myy/nni/n
alushame	alus/hame
alusyksikkö	alus/yksikkö
amatööriorkesteri	amatööri/orkesteri
amerikkalaiskuluttajan	amerikkalais/kulu/tta/ja/n
amerikkalaisyhtiötä	amerikkalais/yhtiö/tä
ammattiauttajia	ammatti/autta/j/i/a
ammattitutkintolaki	ammatti/tutkinto/laki
analysoidut	analysoi/du/t
ansaitsevatko	ansaitse/va/t/ko
antamattomuus	anta/mattom/uus
anttilainen	anttilainen
anttilaisen	anttilaise/n
arvonmääritys	arvo/n/määrit/ys
arvostelijoilla	arvosteli/jo/i/lla
arvostellutta	arvostel/lu/tta
arvostelumyrskyn	arvostel/u/myrsky/n
asfalttiteitä	asfaltti/te/i/tä
asfalttitiet	asfaltti/tie/t
asserille	asseri/lle
asvalttiasemaa	asvaltti/ase/maa
aukioon	aukio/on
autoistumisaste	auto/istu/mis/aste
autovaraosat	auto/vara/osa/t
avaruustutkimuskeskus	avar/uus/tutkimus/keskus
avaruusviraston	avar/uus/virasto/n
ayrshiren	ayrshire/n
barbados	barbados
barbadosissa	barbadosi/ssa
boori	boori
booriyhdisteet	boori/yhdistee/t
britannialaisten	britannia/lais/t/en
brittikonsultti	britti/konsultti
brittisotilaista	britti/sotila/i/sta
collins	collins
collinsin	collinsi/n
countrybändin	country/bändi/n
countrylaulaja	country/laula/ja
diplomaattiseksi	diplomaatt/ise/ksi
dramaturgialinjalle	dramaturgi/a/linja/lle
dramaturgiassa	dramaturgia/ssa
dramaturgit	dramaturgi/t
eduskuntasihteerin	edus/kunta/sihteeri/n
eduskuntavaaleja	edus/kunta/vaale/j/a
edustuskysymyksessä	edust/us/kysymykse/ssä
ehdolla	ehdo/lla
ehdottomampia	ehdo/ttoma/mp/i/a
ehdotuksiamme	ehdot/uks/i/a/mme
eino-juhani	eino/-/juha/ni
elbe	elbe
elbe-joen	elbe/-/joe/n
elinalueeltaan	elin/aluee/lta/an
elinkeinotuen	elin/keino/tue/n
elokuvaklassikon	elo/kuva/klassiko/n
elvytyskampanjalla	elvy/t/ys/kampanja/lla
elämyspuistossa	elämys/puisto/ssa
elämäntapaan	elä/mä/n/tapa/an
elämässänne	elä/mä/ssä/nne
emu-taantuman	emu/-/taantuma/n
epätäsmälliseksi	epätäsmällise/ksi
epätäsmällisen	epätäsmällise/n
erikoiskomission	erikois/komissio/n
erikoisryhmille	erikois/ryhm/i/lle
erikoisvarusteet	erikois/varustee/t
eripituisina	eri/pituis/i/na
erorahaston	ero/rahasto/n
esiintymispaikkaa	esiinty/mis/paikka/a
esittämispaikka	esittä/mis/paikka
estäjä	estä/jä
estämistä	estä/m/i/stä
etuvetoisella	etu/vetoise/lla
eu-maatalouden	eu/-/maa/taloude/n
filmikäsikirjoittajat	filmi/käsi/kirjoitta/ja/t
finaalikamppailussa	finaali/kamppa/il/u/ssa
finanssikonserni	finanssi/konserni
finanssileirit	finanssi/leiri/t
fm-kartta	fm/-/kart/ta
fm-tutkintoa	fm/-/tutkinto/a
fortissimo	fortissimo
fortissimossa	fortissimo/ssa
hagströmien	hagström/i/en
hagströmin	hagströmi/n
hajanäytteitä	haja/näytte/i/tä
hajasijoitetut	haja/sijoite/tu/t
hallitusremonttia	hallitus/remontti/a
hameeseen	hamee/seen
hameisiin	hame/i/siin
hammaskruunu	hammas/kruunu
hankintatukku	hanki/nta/tukku
hankkia	hankki/a
harkitsemattomia	harkitse/mattom/i/a
harminaihe	harmi/n/aihe
harmittomammasta	harmi/ttoma/mma/sta
harrastuksessaan	harrast/ukse/ssa/an
haudutettu	haudu/te/ttu
haudutetulla	haudu/te/tu/lla
hedelmäeristä	hedelmä/er/i/stä
heinäkankaantie	hei/nä/kankaa/n/tie
heinäpään	hei/nä/pää/n
helppoudelle	helppo/ude/lle
helppoutta	helppo/ut/ta
hempeämielisiä	hempeä/mielis/i/ä
hengenvaarallisessa	henge/n/vaara/llise/ssa
henkivakuutusyhtiö	henki/vakuut/us/yhtiö
hienostuneessa	hienostu/nee/ssa
hienostuneesti	hienostu/nee/sti
hienosäätöhommaa	hieno/säätö/homma/a
hiihtotoivot	hiihto/toivo/t
hiiriin	hiir/i/in
hiirivetoisen	hiiri/vetoise/n
hoikkuuden	hoikk/uude/n
hoikkuudesta	hoikk/uude/sta
hongalle	honga/lle
honkahovin	honka/hovi/n
housun	housu/n
housunlahkeet	housu/n/lahkee/t
hovinheimon	hovi/n/heimo/n
huippukorkeiden	huippu/korke/i/den
hulttio	hulttio
hulttiot	hulttio/t
huulesta	huule/sta
huulisyöpää	huuli/syöpä/ä
huumenatsien	huume/nats/i/en
hyvitettävä	hyvite/ttä/vä
hyvityksinä	hyvit/yks/i/nä
hälytystehtävä	hälyt/ys/tehtävä
ikaalisilla	ikaalis/i/lla
ikaalislainen	ikaalis/lainen
iltakonsertteihin	ilta/konsertte/i/hin
improvisoimme	improvisoi/mme
imusolmukesyöpää	imu/solmuke/syöpä/ä
imusolmukesyövästä	imu/solmuke/syö/vä/stä
imusta	imu/sta
insinöörimajuri	insinööri/majuri
investointipäätökseen	investoi/nti/päätö/kse/en
irrotettavan	irrote/tta/va/n
irrottelun	irrott/el/u/n
iskupaikka	isku/paikka
iskuteho	isku/teho
isopää	iso/pää
istumapaikka	istu/ma/paikka
istuneille	istu/ne/i/lle
itsenäisyyspyrkimyksistä	itsenäis/yys/pyrkimyks/i/stä
itä-berliinin	itä/-/berliini/n
itäberliiniläisten	itä/berliini/läis/t/en
itähelsinkiläiset	itä/helsinki/läise/t
jakoviiva	jako/viiva
janne-saliin	janne/-/sali/in
jannehan	janne/han
johtojuoksun	johto/juoksu/n
jonesistakin	jonesi/sta/kin
joulukorttien	joulu/kortt/i/en
joulunalusaikana	joulu/n/alus/aika/na
joulunaluskiireiden	joulu/n/alus/kiire/i/den
joulunumeroon	joulu/numero/on
joulusillin	joulu/silli/n
joulutontuille	joulu/ton/tu/i/lle
juhana-kvartetissa	juha/na/-/kvarteti/ssa
juhanille	juhan/i/lle
jumbo	jumbo
jumbona	jumbo/na
juoksuerolla	juoksu/ero/lla
juoksutetaan	juoksute/ta/an
juoksuttivat	juoksutt/i/vat
juustohöyläratkaisuilla	juusto/höylä/ratkais/u/i/lla
järvikohtaukseen	järvi/kohta/ukse/en
jätteenkäsittelylaitoksineen	jättee/n/käsittel/y/laitoks/ine/en
jäädytettäisiin	jäädy/te/ttä/isi/in
jääkäreitten	jääkäre/i/tten
jäänevät	jää/ne/vät
jäänmurtajien	jää/n/murta/j/i/en
jäänteiksi	jää/n/te/i/ksi
jäätyisi	jääty/isi
kaameudessaan	kaame/ude/ssa/an
kaatopaikkajätteen	kaato/paikka/jättee/n
kaatopaikkaretkeltä	kaato/paikka/retke/ltä
kaatuisi	kaatu/isi
kaatuvat	kaatu/va/t
kairaustehtävät	kaira/us/tehtävä/t
kalanpyydyksien	kala/n/pyydyks/i/en
kalastusalukseen	kalast/us/alu/kse/en
kalastusrekisteriin	kalast/us/rekisteri/in
kali	kali
kalitta	kali/tta
kallistumallaan	kallist/u/ma/lla/an
kansallispuolueen	kansallis/puoluee/n
kantako	kanta/ko
kappalevalikoima	kappale/valikoima
karkotettavan	karkote/tta/va/n
karkottavan	karkotta/va/n
kasinokaupungissa	kasino/kaupungi/ssa
kasinopelurit	kasino/peluri/t
kasvatusotteisiin	kasva/t/us/otte/i/siin
kasvihuonevaikutus	kasvi/huone/vaikut/us
katoilla	kato/il/la
katselemme	katsele/mme
katselleeksi	katsel/lee/ksi
katsellen	katsel/le/n
kattaneen	katta/nee/n
kauppasummana	kauppa/summa/na
kehittämislinjaan	kehittä/mis/linja/an
kehitysuskon	kehit/ys/usko/n
kehitysyhteistyötukea	kehit/ys/yhteis/työ/tuke/a
kehuisi	kehu/isi
kehuttavasti	kehu/tta/va/sti
kellankalpeaksi	kella/n/kalpea/ksi
kelpoisuusvaatimuksia	kelpois/uus/vaatimuks/i/a
keltasipuli	kelta/sipuli
kenraaleilta	kenraale/i/lta
kenraalieversti	kenraali/eversti
kerrosneliömetrin	kerros/neliö/metri/n
keräämän	kerää/mä/n
keräämäni	kerää/mä/ni
kestävyydestään	kestä/v/yyde/stä/än
kestävyys	kestä/v/yys
kevätniemeen	kevät/nieme/en
keynes	keynes
keynesiläiset	keynesi/läise/t
kiireaikoina	kiire/aiko/i/na
kimpale	kimpale
kimpaleen	kimpalee/n
kipeimmän	kipe/immä/n
kipeimmät	kipe/immä/t
kiperimmätkin	kiper/immä/t/kin
kirjoittaahan	kirjoitta/a/han
kirjolohifilee	kirjo/lohi/filee
kirkkoherranviraston	kirkko/herra/n/virasto/n
kirvesmiesporukka	kirves/mies/porukka
kivisti	kivist/i
kohenemisen	kohene/mise/n
kohentamalla	kohe/nta/ma/lla
kokeilevia	kokeile/v/i/a
kokeiltavissa	kokeil/ta/v/i/ssa
komiteataipaleensa	komitea/taipale/e/nsa
konesavotan	kone/savota/n
konetyyppiä	kone/tyyppi/ä
konserniyhtiöksi	konserni/yhtiö/ksi
koreografiakilpailun	koreografi/a/kilpail/u/n
koreografilinjalle	koreografi/linja/lle
koripallofinaalit	kori/pallo/finaali/t
korkeakoulujärjestelmät	korkea/koulu/järjestelmä/t
korkeakoulusta	korkea/koulu/sta
korottaisi	korotta/isi
kotikunto	koti/kunto
kotimaisemiinsa	koti/maisem/i/i/nsa
koulutovereiltaan	koulu/tovere/i/lta/an
kruunutarjous	kruunu/tarjous
kudosnäytteistä	kudos/näytte/i/stä
kujanpäälle	kuja/n/pää/lle
kulttuuriharrastus	kulttuuri/harrast/us
kulttuuriseltakin	kulttuurise/lta/kin
kuluneelle	kulu/nee/lle
kumppanillanne	kumppani/lla/nne
kunniamaininnasta	kunnia/maini/nna/sta
kunniaplakaatteja	kunnia/plakaatte/j/a
kuntarajalla	kunta/raja/lla
kuolla	kuol/la
kuppiin	kupp/i/in
kurdipakolaisesta	kurdi/pakolaise/sta
kustannussäästönä	kustann/us/säästö/nä
kustannusvirkailijana	kustann/us/virkailija/na
kuusinkertaiset	kuus/i/n/kertaise/t
kuvakudoksissa	kuva/kudoks/i/ssa
kylpyhuoneesta	kylpy/huonee/sta
kyyhöttävän	kyyhöttä/vä/n
kyyhöttävää	kyyhöttä/vä/ä
kyyjärveltä	kyy/järve/ltä
kyynpuremapotilaita	kyy/n/pure/ma/potila/i/ta
käsisäätöä	käsi/säätö/ä
käyttöautoja	käyttö/auto/j/a
käytönkin	käytö/n/kin
käytösrangaistuksen	käytös/rangaistukse/n
laboratorioinsinööri	laboratorio/insinööri
laboratoriokulut	laboratorio/kulu/t
lahkeitten	lahke/i/tten
laihempia	laihe/mp/i/a
lainattuihin	laina/ttu/i/hin
lainmuutokset	la/i/n/muutokse/t
lajistollista	lajisto/llis/ta
laskoksiin	laskoks/i/in
laskosten	laskos/t/en
lattiakaivo	lattia/kaivo
lattialämmityksestä	lattia/lämmi/t/ykse/stä
laude	laude
laulattaako	laula/tta/a/ko
lauteitten	laute/i/tten
leikkausmäärien	leikka/us/määr/i/en
leikkaussaliin	leikka/us/sali/in
leikkauttamaan	leikkautta/ma/an
leikkautunut	leikkaut/u/nut
leirijakoa	leiri/jako/a
leppoisilla	leppois/i/lla
leppoisuuden	leppois/uude/n
lettiä	letti/ä
leukemiatapaukset	leukemia/tapa/ukse/t
lihotuskuuri	liho/t/us/kuuri
liikenneruuhkassa	liikenne/ruuhka/ssa
liikuntavammaisille	liiku/nta/vammais/i/lle
liikuntavammojen	liiku/nta/vammo/j/en
liittovaltioiden	liitto/valtio/i/den
likaajana	likaa/ja/na
lintulajistostaan	lintu/lajisto/sta/an
lisäaineiksi	lisä/aine/i/ksi
lisävesiä	lisä/ves/i/ä
lobotomialeikkaukseen	lobotomia/leikka/ukse/en
lohkona	lohko/na
loiskis	loiski/s
loiskiva	loiski/va
loiskivat	loiski/va/t
lomituksen	lomit/ukse/n
lomitustehtäviä	lomit/us/tehtäv/i/ä
lonkkamurtuman	lonkka/murtuma/n
loppukiireessä	loppu/kiiree/ssä
loukkuun	loukku/un
loukuilla	louku/i/lla
lumikko	lumikko
lumikonkatu	lumiko/n/katu
luokkataistelu	luokka/taistel/u
luontotyypin	luonto/tyypi/n
luutuneita	luutu/ne/i/ta
luutunut	luutu/nut
lähdeverojen	lähde/vero/j/en
lähialueitten	lähialue/i/tten
lähialueyhteistyövaroin	lähialue/yhteis/työ/varo/i/n
lähitaloille	lähitalo/i/lle
lähitaloista	lähitalo/i/sta
lämmitin	lämmi/t/i/n
lämäämän	lämää/mä/n
lämäämään	lämää/mä/än
länsi-afrikassa	länsi/-/afrika/ssa
länsimäessä	länsi/mäe/ssä
länsisuuntaan	länsi/suunta/an
lääketieteen	lääke/tietee/n
maailmanstandardiksi	maa/ilma/n/standardi/ksi
maalisvaaleihin	maalis/vaale/i/hin
maanpäällisille	maa/n/pää/llis/i/lle
maanpäällisillä	maa/n/pää/llis/i/llä
maatalousopistojen	maa/talous/opisto/j/en
mad-lehti	mad/-/lehti
madonnamaisesti	madonna/maise/sti
madonnassa	madonna/ssa
maidontuotantokykyä	maido/n/tuotanto/kyky/ä
maisemakuviin	maisema/kuv/i/in
maitojunan	maito/juna/n
maksunsaantijärjestyksestä	maksu/n/saa/nti/järjest/ykse/stä
maksuosuusremontin	maksu/osuus/remonti/n
manipuloitiin	manipuloi/t/i/in
marsipaanipossuja	marsipaani/possu/j/a
masokismin	masokismi/n
materiaalivalikoima	materiaali/valikoima
materiaalivaraston	materiaali/varasto/n
matrikkelitoimikunta	matrikkeli/toimi/kunta
mechelininkadulta	mechelininkadu/lta
mechelininkatua	mechelininkatu/a
mediasotaa	media/sota/a
mediaspesialisti	media/spesialisti
menopeliltä	meno/peli/ltä
meriliikenteessä	meri/liikentee/ssä
merkkitietoisuuteen	merkki/tietois/uute/en
metsälautakunnat	metsä/lauta/kunna/t
metsämannut	metsä/mannu/t
mikkeihin	mikke/i/hin
milligrammaa	milli/gramma/a
millimetripaperille	milli/metri/paperi/lle
minikoossa	mini/koo/ssa
minipossu	mini/possu
minitaantuma	mini/taantuma
mitalisijoista	mitali/sijo/i/sta
mitalitoivo	mitali/toivo
mongolian	mongolia/n
mongoliassa	mongolia/ssa
monikansallisia	moni/kansallis/i/a
monikulttuuriseen	moni/kulttuurise/en
moosekseksi	moosekse/ksi
moosekselle	moosekse/lle
moralismia	moralismi/a
moralismiin	moralismi/in
mosaiikkilattiat	mosaiikki/lattia/t
mosaiikkitöitä	mosaiikki/tö/i/tä
muinaismuistoalueeksi	muinais/muisto/aluee/ksi
mukaanoton	muka/an/oto/n
murtamaan	murta/ma/an
murtumilla	murtu/m/i/lla
murtuvalta	murtu/va/lta
musiikkielämys	musiikki/elämys
musiikkilajien	musiikki/laj/i/en
musiikkimajuri	musiikki/majuri
muslimiperheiden	muslimi/perhe/i/den
muslimiryhmään	muslimi/ryhmä/än
muutoksenhakuasteissa	muutokse/n/haku/aste/i/ssa
myynnillä	myy/nni/llä
myötäjäisistä	myötäjäis/i/stä
myötäjäisten	myötäjäis/t/en
mäkikotkat	mäki/kotka/t
määrittelisi	määritt/el/isi
määräaikaistileillä	määrä/aikais/tile/i/llä
määräisinä	määräis/i/nä
naapuri-yhdistykseen	naapuri/-/yhdist/ykse/en
naapurikuntiin	naapuri/kunt/i/in
naispesäpalloilijoita	nais/pesä/palloili/jo/i/ta
naispuolustusministeri	nais/puolust/us/ministeri
naisurheilijoiksi	nais/urheili/jo/i/ksi
natseihin	natse/i/hin
natsimielisiä	natsi/mielis/i/ä
natsirikolliset	natsi/riko/llise/t
nettoaa	nettoa/a
nettosivat	nettos/i/vat
neuvonnalla	neuvonna/lla
neuvontakuluja	neuvonta/kulu/ja
neuvontatoimistoon	neuvonta/toimisto/on
neuvottelukokoukseen	neuvottel/u/kokoukse/en
niemeke	niemeke
niemekkeellä	niemekkee/llä
nimikysymys	nimi/kysymys
niskavillat	niska/villa/t
nivusvammansa	nivus/vamma/nsa
nobel-palkintona	nobel/-/palkinto/na
nobel-palkintoon	nobel/-/palkinto/on
nostamispaineitakaan	nosta/mis/paine/i/ta/kaan
nostattavista	nosta/tta/v/i/sta
nostavaa	nosta/va/a
noudatellen	noudat/el/le/n
nukkavierut	nukka/vieru/t
nykyruotsin	nyky/ruotsi/n
nykytilan	nyky/tila/n
nyrkkirauta	nyrkki/rauta
nyrkkirysyn	nyrkki/rysy/n
näytelmällisyyteen	näytelmä/llis/yyte/en
näytösoikeudenkäynti	näytös/oike/ude/n/käy/nti
oikeaoppisia	oikea/oppis/i/a
oikeaoppisuuden	oikea/oppis/uude/n
oikeistolaisuudesta	oikeistolais/uude/sta
oikeudenhaku	oike/ude/n/haku
oivallettavaksi	oivalle/tta/va/ksi
